統編,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
28112646,2045,8370.61,12.27,11358.53,36.49,0,0,T
28112646,2046,5786.59,8.48,10366.8,33.31,0,0,T
28112646,2047,3202.58,4.69,9375.08,30.12,0,0,T
28112646,2048,618.57,0.91,8383.36,26.94,0,0,T
28112646,2049,0,0,7391.63,23.75,0,0,T
28112646,2050,0,0,6399.91,20.56,0,0,T
28112667,2020,628568.72,541.44,104587.64,389.61,523981.08,587.1,
28112667,2019,116092.77,100,26843.92,100,89248.85,100,
28112667,2018,128245.65,110.47,31671.1,117.98,96574.55,108.21,
28112667,2017,127199.92,109.57,27689.89,103.15,99510.03,111.5,
28112667,2016,118853.94,102.38,25404.42,94.64,93449.52,104.71,
28112667,2015,110413.13,95.11,19343.12,72.06,91070.01,102.04,
28112667,2014,111790.72,96.29,21232.95,79.1,90557.77,101.47,
28112667,2013,112793.44,97.16,21040.93,78.38,91752.51,102.81,
28112667,2021,795691.65,685.39,130220.22,485.1,665471.43,745.64,T
28112667,2022,962814.59,829.35,155852.81,580.59,806961.78,904.17,T
28112667,2023,1129937.52,973.31,181485.39,676.08,948452.13,1062.71,T
28112667,2024,1297060.45,1117.26,207117.97,771.56,1089942.48,1221.24,T
28112667,2025,1464183.39,1261.22,232750.56,867.05,1231432.83,1379.77,T
28112667,2026,1631306.32,1405.17,258383.14,962.54,1372923.18,1538.31,T
28112667,2027,1798429.25,1549.13,284015.72,1058.03,1514413.53,1696.84,T
28112667,2028,1965552.19,1693.09,309648.31,1153.51,1655903.88,1855.38,T
28112667,2029,2132675.12,1837.04,335280.89,1249,1797394.23,2013.91,T
28112667,2030,2299798.05,1981,360913.47,1344.49,1938884.58,2172.45,T
28112667,2031,2466920.99,2124.96,386546.06,1439.98,2080374.93,2330.98,T
28112667,2032,2634043.92,2268.91,412178.64,1535.46,2221865.28,2489.52,T
28112667,2033,2801166.85,2412.87,437811.22,1630.95,2363355.63,2648.05,T
28112667,2034,2968289.79,2556.83,463443.81,1726.44,2504845.98,2806.59,T
