統編,分類,子分類,項目,來自公司報告,單位,年份,數值
36514783,G,營運狀況,營業費用,,仟元,2019,1550669
36514783,G,營運狀況,淨利,,仟元,2019,1823383
73251209,G,營運狀況,營業收入,,仟元,2019,447977703
73251209,G,營運狀況,營業成本,,仟元,2019,294014598
73251209,G,營運狀況,營業費用,,仟元,2019,124335465
73251209,G,營運狀況,淨利,,仟元,2019,28483554
65534366,G,營運狀況,營業收入,,仟元,2019,4468238
65534366,G,營運狀況,營業成本,,仟元,2019,3057727
65534366,G,營運狀況,營業費用,,仟元,2019,1278477
65534366,G,營運狀況,淨利,,仟元,2019,65333
59661701,G,營運狀況,營業收入,,仟元,2019,8000584
59661701,G,營運狀況,營業成本,,仟元,2019,6545893
59661701,G,營運狀況,營業費用,,仟元,2019,1295263
59661701,G,營運狀況,淨利,,仟元,2019,582201
56192402,G,營運狀況,營業收入,,仟元,2019,12259254
56192402,G,營運狀況,營業成本,,仟元,2019,11262328
56192402,G,營運狀況,營業費用,,仟元,2019,962491
56192402,G,營運狀況,淨利,,仟元,2019,141379
03543210,G,營運狀況,營業收入,,仟元,2019,2982351
03543210,G,營運狀況,營業成本,,仟元,2019,2563623
03543210,G,營運狀況,營業費用,,仟元,2019,236781
03543210,G,營運狀況,淨利,,仟元,2019,140084
22102298,G,營運狀況,營業收入,,仟元,2019,10646506
22102298,G,營運狀況,營業成本,,仟元,2019,9633963
22102298,G,營運狀況,營業費用,,仟元,2019,604456
22102298,G,營運狀況,淨利,,仟元,2019,395480
22102473,G,營運狀況,營業收入,,仟元,2019,31266232
22102473,G,營運狀況,營業成本,,仟元,2019,21635219
22102473,G,營運狀況,營業費用,,仟元,2019,5207140
22102473,G,營運狀況,淨利,,仟元,2019,3454836
11996904,G,營運狀況,營業收入,,仟元,2019,8271293
11996904,G,營運狀況,營業成本,,仟元,2019,6401664
11996904,G,營運狀況,營業費用,,仟元,2019,914259
11996904,G,營運狀況,淨利,,仟元,2019,3146096
07569627,G,營運狀況,營業收入,,仟元,2019,8588903
07569627,G,營運狀況,營業成本,,仟元,2019,6729864
07569627,G,營運狀況,營業費用,,仟元,2019,1268755
07569627,G,營運狀況,淨利,,仟元,2019,524680
20927014,G,營運狀況,營業收入,,仟元,2019,17150108
20927014,G,營運狀況,營業成本,,仟元,2019,15131192
20927014,G,營運狀況,營業費用,,仟元,2019,788140
20927014,G,營運狀況,淨利,,仟元,2019,999104
18559415,G,營運狀況,營業收入,,仟元,2019,2247585
18559415,G,營運狀況,營業成本,,仟元,2019,946584
18559415,G,營運狀況,營業費用,,仟元,2019,1122572
18559415,G,營運狀況,淨利,,仟元,2019,156896
20651901,G,營運狀況,營業收入,,仟元,2019,9145655
20651901,G,營運狀況,營業成本,,仟元,2019,6695015
20651901,G,營運狀況,營業費用,,仟元,2019,1974991
20651901,G,營運狀況,淨利,,仟元,2019,846511
85617982,G,營運狀況,營業收入,,仟元,2019,61778
85617982,G,營運狀況,營業成本,,仟元,2019,30508
85617982,G,營運狀況,營業費用,,仟元,2019,16277
85617982,G,營運狀況,淨利,,仟元,2019,46889
34106066,G,營運狀況,營業收入,,仟元,2019,1864663
34106066,G,營運狀況,營業成本,,仟元,2019,1362092
34106066,G,營運狀況,營業費用,,仟元,2019,501571
34106066,G,營運狀況,淨利,,仟元,2019,15779
03794905,G,營運狀況,營業收入,,仟元,2019,26409607
03794905,G,營運狀況,營業成本,,仟元,2019,20954606
03794905,G,營運狀況,營業費用,,仟元,2019,4181489
03794905,G,營運狀況,淨利,,仟元,2019,2742529
15319335,G,營運狀況,營業收入,,仟元,2019,3465735
15319335,G,營運狀況,營業成本,,仟元,2019,1742362
15319335,G,營運狀況,營業費用,,仟元,2019,1647093
15319335,G,營運狀況,淨利,,仟元,2019,126412
89480404,G,營運狀況,營業收入,,仟元,2019,7078083
89480404,G,營運狀況,營業成本,,仟元,2019,6837939
89480404,G,營運狀況,營業費用,,仟元,2019,129546
89480404,G,營運狀況,淨利,,仟元,2019,84301
37759808,G,營運狀況,營業收入,,仟元,2019,3520879
37759808,G,營運狀況,營業成本,,仟元,2019,2164020
37759808,G,營運狀況,營業費用,,仟元,2019,603708
37759808,G,營運狀況,淨利,,仟元,2019,547716
12467902,G,營運狀況,營業收入,,仟元,2019,4260496
12467902,G,營運狀況,營業成本,,仟元,2019,3682633
12467902,G,營運狀況,營業費用,,仟元,2019,381721
12467902,G,營運狀況,淨利,,仟元,2019,116324
84478111,G,營運狀況,營業收入,,仟元,2019,52159
84478111,G,營運狀況,營業成本,,仟元,2019,15924
84478111,G,營運狀況,營業費用,,仟元,2019,34080
84478111,G,營運狀況,淨利,,仟元,2019,4227
89955491,G,營運狀況,營業收入,,仟元,2019,286608
89955491,G,營運狀況,營業成本,,仟元,2019,157413
89955491,G,營運狀況,營業費用,,仟元,2019,135456
89955491,G,營運狀況,淨利,,仟元,2019,-5590
07305506,G,營運狀況,營業收入,,仟元,2019,18343979
07305506,G,營運狀況,營業成本,,仟元,2019,11918057
07305506,G,營運狀況,營業費用,,仟元,2019,4754834
07305506,G,營運狀況,淨利,,仟元,2019,1013307
89397503,G,營運狀況,營業收入,,仟元,2019,2906615
89397503,G,營運狀況,營業成本,,仟元,2019,1696299
89397503,G,營運狀況,營業費用,,仟元,2019,790558
89397503,G,營運狀況,淨利,,仟元,2019,345503
11347802,G,營運狀況,營業收入,,仟元,2018,19436763
11347802,G,營運狀況,營業成本,,仟元,2018,13398214
11347802,G,營運狀況,營業費用,,仟元,2018,5525400
11347802,G,營運狀況,淨利,,仟元,2018,869091
07067309,G,營運狀況,營業收入,,仟元,2018,6081031
07067309,G,營運狀況,營業成本,,仟元,2018,4111026
