year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,1614,電器電纜,931.0,534446.0,574.0,552.0,1.24,887.0,1.8,True,True,True,一、疫情期間，技術生留廠時間逾半年，計入全時員工，領取基本薪員工人數增加。故平均薪資較前年度略為下降。二、本期全時員工人數較前期增加36人。
2023,1615,電器電纜,249.0,171975.0,691.0,620.0,3.21,887.0,1.8,True,True,True,"本公司的薪資水平在雲林地區已屬中上所得,本公司近年為謀求企業永續經營,讓員工有更好的工作環境,以盈餘投資自動化生產；非擔任主管職務之全時員工薪資平均數及中位數仍分別與2022年各提升3.13%及3.33%,應尚屬合理。"
2023,1616,電器電纜,186.0,129722.0,697.0,620.0,1.19,887.0,1.8,True,True,True,
2023,1617,電器電纜,232.0,145058.0,625.0,563.0,0.09,887.0,1.8,True,True,True,
2023,1618,電器電纜,199.0,158038.0,794.0,713.0,2.01,887.0,1.8,True,True,True,本公司之薪酬制度係依個人績效與貢獻度，及綜合考量產業狀況及經濟前景等因素評估，本期員工薪資平均數較上期成長約10.43%，外籍移工占整體員工人數成長約5.75%，以致對平均薪資有所影響。
2023,"170,986,598",,,,,,,,,,,,
2023,1702,食品工業,38.0,45040.0,1185.0,861.0,4.2,842.0,2.7,True,True,True,
2023,1707,生技醫療業,528.0,446352.0,845.0,736.0,9.81,807.0,3.16,True,True,True,
2023,1708,化學工業,170.0,122347.0,720.0,650.0,-0.11,868.0,1.64,True,True,True,
2023,1709,化學工業,219.0,257244.0,1175.0,1063.0,0.88,868.0,1.64,True,True,True,
2023,1710,化學工業,350.0,360332.0,1030.0,977.0,0.3,868.0,1.64,True,True,True,
2023,1711,化學工業,1212.0,870101.0,718.0,682.0,0.16,868.0,1.64,True,True,True,
2023,1712,化學工業,1353.0,1017222.0,752.0,666.0,2.5,868.0,1.64,True,True,True,1.本公司員工薪酬定期參酌外部薪資水準給予合理報酬，但因人力結構組成相較同業不盡相同，致影響薪酬水準。2.本公司每年辦理全員調薪，校準市場薪酬水準。
