"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"D8803234","強新工業股份有限公司佳里七廠",84703335,"臺南市佳里區海澄里萊芊寮１２之３７號",23.1796232,120.1742702
"D8803761","東皋企業股份有限公司",74714615,"臺南市佳里區海澄里萊芊寮１２之５號",23.1796232,120.1742702
"D9001127","台灣日立化成電子材料股份有限公司",29184956,"臺南市善化區環東路二段２１號",23.1086646,120.2824369
"D9002188","三福氣體股份有限公司南科分公司南科7廠",11072509,"臺南市善化區安順一路３號",23.1109365,120.2641686
"D9003354","慧盛材料股份有限公司南科廠",42839916,"臺南市善化區胡厝里興農路７７２號甲廠",23.128189,120.2617339
"D9101453","利通樹脂股份有限公司台南廠",28717722,"臺南市學甲區新榮里華宗路１０８號",23.2265428,120.1832323
"D9200086","欣岱實業股份有限公司柳營廠",69774583,"臺南市柳營區大農里環園東路二段８號",23.2798239,120.3621853
"D9200504","樺正實業股份有限公司柳營廠",97210018,"臺南市柳營區大農里工五路８號",23.280342,120.3603708
"D9200513","三福化工股份有限公司柳科廠",80170651,"臺南市柳營區大農里環園東路一段１號",23.2690281,120.3562604
"D9200586","明炫精密化學股份有限公司台南廠",28706437,"臺南市柳營區大農里環園西路一段１５號",23.2691442,120.3553573
"D9201001","育宗特用材料股份有限公司",86757193,"臺南市柳營區大農里工七路１６號",23.2726345,120.3540937
"D9201225","瑞商建材股份有限公司柳營廠",54362438,"臺南市柳營區大農里環園東路二段１５號",23.2829029,120.36241
"D9201243","久芳生物科技股份有限公司",53265319,"臺南市柳營區大農里工二路８號",23.280342,120.3603708
"D9202688","光宇材料股份有限公司台南廠",54595817,"臺南市柳營區大農里環園西路二段４０號",23.2863731,120.3535647
"D9202768","寶綠特資源再生科技股份有限公司",64978460,"臺南市柳營區大農里工五路３號",23.2801923,120.3603285
"D9203149","台昌樹脂企業股份有限公司柳科廠",72006931,"臺南市柳營區工六路１號",23.2742466,120.3544962
"D9203390","平和資源科技股份有限公司",42931809,"臺南市柳營區大農里工七路１１號",23.2835718,120.3516125
"D9203603","光宇材料股份有限公司",54595817,"臺南市柳營區大農里環園西路二段４０號",23.2863731,120.3535647
"D9700018","廉捷科技股份有限公司",53282540,"臺南市官田區二鎮里成功街６８號",23.2109146,120.3297795
"E1600345","寬亮企業有限公司",28293484,"高雄市岡山區本工五路１之１號",22.8077667,120.2732044
"E1600381","元佳宇有限公司",28877776,"高雄市岡山區前鋒路２８６巷８號",22.8031799,120.282233
"E1600390","元佳宇有限公司二廠",28877776,"高雄市岡山區壽峰里前鋒路２８６巷６號",22.8031799,120.282233
"E1600470","富崇企業有限公司",16711913,"高雄市岡山區本洲路１９７之１號",22.8066871,120.2674
